Feature,Importance
tkhd(2)_Create Time,0.01694617947550741
mdhd(2)_Create Time,0.01694617947550741
mdhd(2)_Modify Time,0.01694617947550741
SPS_frame_crop_bottom_offset,0.015485075603398834
ftyp_Compatible Brands,0.01521781334260835
free,0.010203179545683567
name(2),0.010203179545682763
mdhd_Timescale,0.00996092735241184
tkhd_Create Time,0.006374932225625877
tkhd_Modify Time,0.006374932225625877
mdhd_Modify Time,0.006374932225625877
mdhd_Create Time,0.006374932225624608
ftyp_Major Brand,0.005955004498047356
mdhd(2)_Language Code,0.005520331138593518
mvhd_Create Time,0.004763964894729643
mvhd_Modify Time,0.004763964894729643
SPS_profile_idc,0.004412664946622886
tkhd_Width,0.001204854309626616
tkhd_Height,0.001204854309626616
SPS_hrd.dpb_output_delay_length_minus1,0.0009716446823664588
SPS_hrd.time_offset_length,0.0009716446823664588
SPS_hrd.initial_cpb_removal_delay_length_minus1,0.0009716446823664588
SPS_hrd.cpb_removal_delay_length_minus1,0.0009716446823664588
hdlr,0.0003115161086595517
smhd,0.00028054863010800417
tkhd(2)_Track ID,0.00028054863010800417
dinf(2),0.0002805486301080036
stts(2)_Entry Count,0.0
stsd(2)_Entry Count,0.0
dinf,0.0
tkhd(3)_Duration,0.0
elst(3)_Entries,0.0
mdhd(3)_Duration,0.0
mdhd(2)_Duration,0.0
stsd(3)_Entry Count,0.0
stts(3)_Entry Count,0.0
stsc(3)_Entry Count,0.0
stsz(3)_Sample Count,0.0
tkhd(4)_Duration,0.0
elst(3)_Entry Count,0.0
stsz(2)_Sample Count,0.0
stsc(2)_Entry Count,0.0
elst_'Duration,0.0
soct,0.0
0,0.0
skip,0.0
smme,0.0
vhdr,0.0
auth,0.0
elst(2)_'Duration,0.0
type,0.0
sbgp(3),0.0
co64(2)_Entry Count,0.0
co64_Entry Count,0.0
smta,0.0
smrd,0.0
SDLN,0.0
free(2),0.0
SPS,0.0
elst(2)_Entries,0.0
tagc,0.0
sgpd(5),0.0
stts(5)_Entry Count,0.0
mdhd(4)_Duration,0.0
tkhd_Duration,0.0
mdhd(5)_Duration,0.0
elst_Entry Count,0.0
elst_Entries,0.0
stsz_Sample Count,0.0
stsz_Sample Size,0.0
stsc_Entry Count,0.0
stts_Entry Count,0.0
elst(5)_Entries,0.0
elst(5)_Entry Count,0.0
stsd_Entry Count,0.0
mdhd_Duration,0.0
stsd(4)_Entry Count,0.0
stts(4)_Entry Count,0.0
vmhd,0.0
stsc(4)_Entry Count,0.0
stsd(5)_Entry Count,0.0
stsc(5)_Entry Count,0.0
tagc(3),0.0
tkhd_Track ID,0.0
tagc(2),0.0
stsz(4)_Sample Count,0.0
sdtp(2),0.0
stss(2),0.0
cslg(2),0.0
ctts(2),0.0
vmhd(2),0.0
tapt(2),0.0
elst(2)_Entry Count,0.0
wide,0.0
elst(4)_Entry Count,0.0
mvhd_Duration,0.0
mvhd_Preferred Rate,0.0
mvhd_Preferred Volume,0.0
elst(4)_Entries,0.0
tkhd(2)_Duration,0.0
stsz(5)_Sample Count,0.0
tkhd(5)_Duration,0.0
